Individual Dynamic_Lift  Arm_Strength 
1           71.7           17.3
2           48.3           19.3
3           88.3           19.5
4           75.0           19.7
5           91.7           22.9
6           100.0          23.1
7           73.3           26.4
8           65.0           26.8
9           75.0           27.6
10          88.3           28.1
11          68.3           28.2
12          96.7           28.7
13          76.7           29.0
14          78.3           29.6
15          60.0           29.9
16          71.7           29.9
17          85.0           30.3
18          85.0           31.3
19          88.3           36.0
20          100.0          39.5
21          100.0          40.4
22          100.0          44.3
23          91.7           44.6
24          100.0          50.4
25          71.7           55.9
